38,Kyle Korver,SG,32,ATL,46,46,34.4,4.1,8.6,.476,2.6,5.7,.464,1.5,2.9,.500,1.0,1.1,.923,0.4,3.6,4.0,3.0,1.0,0.3,1.3,2.0,11.8
39,Dwight Howard,C,28,HOU,52,52,34.3,6.8,11.7,.578,0.0,0.1,.400,6.7,11.6,.579,5.2,9.5,.543,3.3,9.1,12.4,1.8,0.9,1.8,3.2,3.6,18.8
40,Chris Paul,PG,28,LAC,35,35,34.3,6.6,14.2,.465,1.2,3.4,.356,5.4,10.8,.499,4.8,5.5,.866,0.6,4.0,4.6,11.1,2.5,0.1,2.5,2.4,19.2
41,Wesley Matthews,SG,27,POR,52,52,34.3,5.7,12.3,.463,2.6,6.3,.412,3.1,6.0,.516,2.8,3.4,.835,0.6,3.3,4.0,2.4,0.9,0.2,1.3,2.1,16.8
42,David Lee,PF,30,GSW,49,49,34.1,7.5,14.5,.516,0.0,0.0,.000,7.5,14.5,.517,3.8,4.7,.804,2.8,7.0,9.7,2.3,0.6,0.4,2.3,2.9,18.8
43,Isaiah Thomas,PG,24,SAC,52,34,34.1,6.8,15.4,.446,1.9,5.1,.368,5.0,10.3,.484,4.7,5.4,.858,0.7,2.1,2.8,6.3,1.3,0.1,2.7,2.5,20.2
44,Al Jefferson,PF,29,CHA,43,43,34.0,8.8,18.0,.492,0.0,0.1,.333,8.8,17.8,.493,2.5,3.8,.673,2.1,8.4,10.5,2.1,1.0,1.3,1.4,2.5,20.3
45,Joakim Noah,C,28,CHI,49,49,34.0,4.4,9.5,.466,0.0,0.0,.000,4.4,9.5,.467,3.0,4.1,.719,3.8,7.7,11.5,4.3,1.1,1.4,2.2,3.1,11.8
46,Jeff Green,SF,27,BOS,53,53,33.7,5.8,13.7,.420,1.6,4.4,.362,4.2,9.3,.448,3.5,4.5,.772,0.7,4.2,4.9,1.7,0.7,0.6,2.0,2.0,16.6
47,Jrue Holiday,PG,23,NOP,34,34,33.6,6.0,13.4,.447,0.9,2.3,.390,5.1,11.1,.459,1.5,1.9,.810,0.8,3.4,4.2,7.9,1.6,0.4,3.1,2.7,14.3
48,Andre Iguodala,SF,30,GSW,40,40,33.5,3.6,7.4,.481,1.2,3.1,.379,2.4,4.3,.555,1.3,2.2,.591,0.8,3.9,4.7,4.4,1.6,0.3,1.8,1.7,9.6
49,Eric Bledsoe,PG,24,PHO,24,22,33.5,6.3,13.0,.486,1.2,3.3,.350,5.1,9.6,.532,4.2,5.3,.789,0.4,3.8,4.3,5.8,1.5,0.3,3.3,2.5,18.0
50,Marc Gasol,C,29,MEM,28,28,33.4,5.1,11.4,.453,0.0,0.1,.000,5.1,11.3,.456,3.3,4.0,.820,1.1,5.3,6.4,3.6,1.0,1.1,2.0,2.6,13.5
51,Thaddeus Young,PF,25,PHI,50,49,33.4,7.1,14.9,.479,0.9,2.9,.324,6.2,12.0,.517,1.9,2.8,.674,2.2,4.0,6.2,1.9,2.1,0.4,2.0,2.6,17.1
52,Dwyane Wade,SG,32,MIA,36,35,33.3,7.7,14.0,.548,0.3,0.6,.391,7.4,13.4,.555,3.1,4.3,.724,0.9,3.9,4.8,4.7,1.6,0.6,3.0,2.3,18.7
53,Paul Millsap,PF,28,ATL,49,48,33.2,6.5,14.1,.462,1.0,2.7,.368,5.5,11.4,.485,3.6,4.9,.739,2.1,6.2,8.3,3.0,1.9,1.2,2.5,2.9,17.7
54,Joe Johnson,SG,32,BRK,47,47,33.1,5.6,12.7,.444,2.0,5.0,.393,3.7,7.7,.477,2.0,2.5,.812,0.6,2.6,3.3,2.7,0.5,0.2,1.4,2.0,15.3
55,Gerald Henderson,SG,26,CHA,52,52,33.1,5.6,13.3,.425,0.4,1.2,.313,5.3,12.0,.437,3.6,4.6,.779,0.5,3.8,4.2,2.8,0.8,0.4,1.6,2.1,15.3
56,Al Horford,C,27,ATL,29,29,33.0,8.2,14.5,.567,0.1,0.4,.364,8.1,14.1,.572,2.0,2.9,.682,2.3,6.1,8.4,2.6,0.9,1.5,2.2,1.9,18.6
